WMO_Region,OID_,Continent,Type,Name,Acronym,Area,AreaPercent,GDP_billion,ExtremeHeat,Coldspell_coldwave,RiverFlood,Aridity_Drought,FireWeather,SevereWindStorm,TropicalCyclone,SandAndDustStorm,Permafrost,SnowAndIceStorm,Hail,SnowAvalanche,CoastalFlood
,0,POLAR,Land,Greenland/Iceland,GIC,2335453.729,,168.1804814,H,DH,H,DH,M,,,,DH,,,,M
 North America Central America and the Caribbean,1,NORTH-AMERICA,Land,N.W.North-America,NWN,5417501.175,0.245325895,3047.925553,H,DH,M,DM,M,,,,DH,,,DM,H
 North America Central America and the Caribbean,2,NORTH-AMERICA,Land,N.E.North-America,NEN,4559820.508,0.20648672,512.1468413,H,DH,M,DH,M,,,,DH,,,,
 North America Central America and the Caribbean,3,NORTH-AMERICA,Land,W.North-America,WNA,2721928.576,0.123259699,31343.16539,H,DH,M,,H,M,,M,,,,DM,H
 North America Central America and the Caribbean,4,NORTH-AMERICA,Land,C.North-America,CNA,2754947.451,0.124754924,30416.35962,H,DH,M,M,M,M,M,,,,,,H
 North America Central America and the Caribbean,5,NORTH-AMERICA,Land,E.North-America,ENA,3411511.81,0.154486757,112891.7586,H,DH,M,DM,M,M,M,,,,,,H
 North America Central America and the Caribbean,6,CENTRAL-AMERICA,Land,N.Central-America,NCA,1996324.302,0.090401466,24342.89307,H,DH,,H,H,,M,M,,,,,H
 North America Central America and the Caribbean,7,CENTRAL-AMERICA,Land,S.Central-America,SCA,990715.3519,0.044863512,11337.09167,H,DH,,M,M,,M,,,,,,H
 North America Central America and the Caribbean,8,CENTRAL-AMERICA,Land-Ocean,Caribbean,CAR,230126.2504,0.010421027,5743.938646,H,,,M,,,M,,,,,,H
SOUTH AMERICA,9,SOUTH-AMERICA,Land,N.W.South-America,NWS,2059354.743,0.116106949,11145.75819,H,DH,,,,,,,,,,,H
SOUTH AMERICA,10,SOUTH-AMERICA,Land,N.South-America,NSA,4391103.239,0.247571528,5774.043113,H,DH,,M,H,,M,,,,,,H
SOUTH AMERICA,11,SOUTH-AMERICA,Land,N.E.South-America,NES,2704200.895,0.152463541,7521.491305,H,DH,,M,H,,,,,,,,H
SOUTH AMERICA,12,SOUTH-AMERICA,Land,South-American-Monsoon,SAM,2986131.203,0.168358844,1556.645967,H,DH,M,M,H,,,,,,,,
SOUTH AMERICA,13,SOUTH-AMERICA,Land,S.W.South-America,SWS,1044024.274,0.058862357,4593.33606,H,DH,,M,H,,,,DH,,,,H
SOUTH AMERICA,14,SOUTH-AMERICA,Land,S.E.South-America,SES,3790064.565,0.213684814,30425.07396,H,DH,M,,,,,,,,,,H
SOUTH AMERICA,15,SOUTH-AMERICA,Land,S.South-America,SSA,761826.3735,0.042951967,451.8445819,H,DH,,,,,,,DH,,,,H
EUROPE,16,EUROPE,Land,N.Europe,NEU,2062489.121,0.166381836,51420.03944,H,DH,DM,DH,,M,,,DH,,,,H
EUROPE,17,EUROPE,Land,West&Central-Europe,WCE,3366026.066,0.271538692,114047.0021,H,DH,H,,M,M,,,DH,,,,H
EUROPE,18,EUROPE,Land,E.Europe,EEU,2834168.326,0.228633512,7784.705868,H,DH,DM,,M,M,,,,,,,
EUROPE,19,EUROPE-AFRICA,Land-Ocean,Mediterranean,MED,4133435.963,0.33344596,79143.38026,H,DH,DM,H,H,M,,,DH,,,,H
AFRICA_WMO,20,AFRICA,Land,Sahara,SAH,8976304.125,0.318223955,5501.560454,H,DH,,,,,,,,,,,H
AFRICA_WMO,21,AFRICA,Land,Western-Africa,WAF,3094470.472,0.109703795,13495.91749,H,DH,,,,,,,,,,,H
AFRICA_WMO,22,AFRICA,Land,Central-Africa,CAF,4645871.619,0.164703381,2852.838093,H,DH,M,,,,,,,,,,H
AFRICA_WMO,23,AFRICA,Land,N.Eastern-Africa,NEAF,3044293.359,0.107924939,2851.532992,H,DH,,,,,,,,,,,H
AFRICA_WMO,24,AFRICA,Land,S.Eastern-Africa,SEAF,2088218.611,0.074030601,3489.326231,H,DH,,,,,M,,,,,,H
AFRICA_WMO,25,AFRICA,Land,W.Southern-Africa,WSAF,2913862.456,0.10330096,1987.314223,H,DH,,H,H,,,,,,,,H
AFRICA_WMO,26,AFRICA,Land,E.Southern-Africa,ESAF,2852484.08,0.101125001,7248.925723,H,DH,,H,H,,M,,,,,,H
AFRICA_WMO,27,AFRICA,Land,Madagascar,MDG,592001.3162,0.020987368,320.0809699,H,DH,,,,,M,,,,,,H
,28,ASIA,Land,Russian-Arctic,RAR,4529684.374,,776.0923828,H,DH,H,DH,M,,,,DH,,,,H
ASIA_WMO,29,ASIA,Land,W.Siberia,WSB,4251800.346,0.120691516,12903.8825,H,DH,,,M,,,,DH,M,,,
ASIA_WMO,30,ASIA,Land,E.Siberia,ESB,5669067.131,0.160922021,6670.274325,H,DH,M,,M,,,,DH,M,,,
ASIA_WMO,31,ASIA,Land,Russian-Far-East,RFE,2702114.05,0.076702153,2017.161498,H,DH,,,M,,,,DH,M,,,H
ASIA_WMO,32,ASIA,Land,W.C.Asia,WCA,5444637.429,0.154551364,32987.61012,H,DH,,M,M,,,,,,,,H
ASIA_WMO,33,ASIA,Land,E.C.Asia,ECA,2794045.052,0.079311704,5513.854227,H,DH,M,,M,,,,DH,,,,
ASIA_WMO,34,ASIA,Land,Tibetan-Plateau,TIB,2344093.198,0.06653938,6878.969284,H,DH,M,,,,,,DH,,,,
ASIA_WMO,35,ASIA,Land,E.Asia,EAS,5092989.009,0.144569479,250072.6113,H,DH,M,M,M,,M,,,M,,,H
ASIA_WMO,36,ASIA,Land,Arabian-Peninsula,ARP,2747187.43,0.077981605,29068.30284,H,DH,,,,,,,,,,,H
ASIA_WMO,37,ASIA,Land,S.Asia,SAS,4182726.185,0.118730778,79195.16156,H,DH,M,,M,,,,DH,,,,H
SOUTH-WEST PACIFIC,38,ASIA,Land-Ocean,S.E.Asia,SEA,4177740.806,0.343836736,62591.2164,H,DH,M,,,,M,,,,,,H
SOUTH-WEST PACIFIC,39,OCEANIA,Land,N.Australia,NAU,1626713.859,0.133881925,363.7902304,H,DH,M,,H,,,M,,,,,H
SOUTH-WEST PACIFIC,40,OCEANIA,Land,C.Australia,CAU,3542848.563,0.291583787,124.5591027,H,DH,M,,H,,,M,,,,,H
SOUTH-WEST PACIFIC,41,OCEANIA,Land,E.Australia,EAU,1004076.991,0.082637619,5023.25125,H,DH,M,M,H,,,M,,,,,H
SOUTH-WEST PACIFIC,42,OCEANIA,Land,S.Australia,SAU,1530052.105,0.125926463,5210.003249,H,DH,M,M,H,,,M,,,,,H
SOUTH-WEST PACIFIC,43,OCEANIA,Land,New-Zealand,NZ,268929.6749,0.02213347,1601.501288,H,DH,M,,M,,,,,,,,H
,44,POLAR,Land,E.Antarctica,EAN,10453113.14,,0,M,,H,DH,,,,,,,,,
,45,POLAR,Land,W.Antarctica,WAN,2082770.557,,0,M,,H,DH,,,,,,,,,
,46,ARCTIC,Ocean,Arctic-Ocean,ARO,78283.54504,,1.546812905,,,,,,,,,,,,,
,47,PACIFIC,Ocean,N.Pacific-Ocean,NPO,39760.9259,,770.2982149,,,,,,,,,,,,,
,48,PACIFIC,Ocean,Equatorial.Pacific-Ocean,EPO,91667.4381,,43.16774699,,,,,,,,,,,,,
,49,PACIFIC,Ocean,S.Pacific-Ocean,SPO,62816.18827,,104.6525956,,,,,,,,,,,,,
,50,ATLANTIC,Ocean,N.Atlantic-Ocean,NAO,16215.55682,,241.1913454,,,,,,,,,,,,,
,51,ATLANTIC,Ocean,Equatorial.Atlantic-Ocean,EAO,3063.622282,,5.350972735,,,,,,,,,,,,,
,52,ATLANTIC,Ocean,S.Atlantic-Ocean,SAO,325.0363906,,0,,,,,,,,,,,,,
,53,INDIAN,Ocean,Arabian-Sea,ARS,3707.770463,,2.13405796,,,,,,,,,,,,,
,54,INDIAN,Ocean,Bay-of-Bengal,BOB,47320.21801,,1411.605949,,,,,,,,,,,,,
,55,INDIAN,Ocean,Equatorial.Indic-Ocean,EIO,20178.52482,,1244.011616,,,,,,,,,,,,,
,56,INDIAN,Ocean,S.Indic-Ocean,SIO,4713.770593,,478.4183261,,,,,,,,,,,,,
,57,SOUTHERN,Ocean,Southern-Ocean,SOO,15888.48999,,0,,,,,,,,,,,,,
